title,cast,genres,combined
jurassic world,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Action Adventure Science Fiction Thriller,Action Adventure Science Fiction Thriller Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson
mad max: fury road,Tom Hardy Charlize Theron Hugh Keays-Byrne Nicholas Hoult Josh Helman,Action Adventure Science Fiction Thriller,Action Adventure Science Fiction Thriller Tom Hardy Charlize Theron Hugh Keays-Byrne Nicholas Hoult Josh Helman
insurgent,Shailene Woodley Theo James Kate Winslet Ansel Elgort Miles Teller,Adventure Science Fiction Thriller,Adventure Science Fiction Thriller Shailene Woodley Theo James Kate Winslet Ansel Elgort Miles Teller
star wars: the force awakens,Harrison Ford Mark Hamill Carrie Fisher Adam Driver Daisy Ridley,Action Adventure Science Fiction Fantasy,Action Adventure Science Fiction Fantasy Harrison Ford Mark Hamill Carrie Fisher Adam Driver Daisy Ridley
furious 7,Vin Diesel Paul Walker Jason Statham Michelle Rodriguez Dwayne Johnson,Action Crime Thriller,Action Crime Thriller Vin Diesel Paul Walker Jason Statham Michelle Rodriguez Dwayne Johnson
the revenant,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Western Drama Adventure Thriller,Western Drama Adventure Thriller Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson
terminator genisys,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Science Fiction Action Thriller Adventure,Science Fiction Action Thriller Adventure Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons
the martian,Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael PeÃ±a,Drama Adventure Science Fiction,Drama Adventure Science Fiction Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael PeÃ±a
minions,Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,Family Animation Adventure Comedy,Family Animation Adventure Comedy Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan
inside out,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Comedy Animation Family,Comedy Animation Family Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black
spectre,Daniel Craig Christoph Waltz LÃ©a Seydoux Ralph Fiennes Monica Bellucci,Action Adventure Crime,Action Adventure Crime Daniel Craig Christoph Waltz LÃ©a Seydoux Ralph Fiennes Monica Bellucci
jupiter ascending,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Science Fiction Fantasy Action Adventure,Science Fiction Fantasy Action Adventure Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth
ex machina,Domhnall Gleeson Alicia Vikander Oscar Isaac Sonoya Mizuno Corey Johnson,Drama Science Fiction,Drama Science Fiction Domhnall Gleeson Alicia Vikander Oscar Isaac Sonoya Mizuno Corey Johnson
pixels,Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James,Action Comedy Science Fiction,Action Comedy Science Fiction Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James
avengers: age of ultron,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Action Adventure Science Fiction,Action Adventure Science Fiction Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson
the hateful eight,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins DemiÃ¡n Bichir,Crime Drama Mystery Western,Crime Drama Mystery Western Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins DemiÃ¡n Bichir
taken 3,Liam Neeson Forest Whitaker Maggie Grace Famke Janssen Dougray Scott,Crime Action Thriller,Crime Action Thriller Liam Neeson Forest Whitaker Maggie Grace Famke Janssen Dougray Scott
ant-man,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Science Fiction Action Adventure,Science Fiction Action Adventure Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale
cinderella,Lily James Cate Blanchett Richard Madden Helena Bonham Carter Holliday Grainger,Romance Fantasy Family Drama,Romance Fantasy Family Drama Lily James Cate Blanchett Richard Madden Helena Bonham Carter Holliday Grainger
the hunger games: mockingjay - part 2,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,War Adventure Science Fiction,War Adventure Science Fiction Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks
tomorrowland,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Action Family Science Fiction Adventure Mystery,Action Family Science Fiction Adventure Mystery Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie
southpaw,Jake Gyllenhaal Rachel McAdams Forest Whitaker Oona Laurence 50 Cent,Action Drama,Action Drama Jake Gyllenhaal Rachel McAdams Forest Whitaker Oona Laurence 50 Cent
san andreas,Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi,Action Drama Thriller,Action Drama Thriller Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi
fifty shades of grey,Dakota Johnson Jamie Dornan Jennifer Ehle Eloise Mumford Victor Rasuk,Drama Romance,Drama Romance Dakota Johnson Jamie Dornan Jennifer Ehle Eloise Mumford Victor Rasuk
the big short,Christian Bale Steve Carell Ryan Gosling Brad Pitt Melissa Leo,Comedy Drama,Comedy Drama Christian Bale Steve Carell Ryan Gosling Brad Pitt Melissa Leo
mission: impossible - rogue nation,Tom Cruise Jeremy Renner Simon Pegg Rebecca Ferguson Ving Rhames,Action,Action Tom Cruise Jeremy Renner Simon Pegg Rebecca Ferguson Ving Rhames
ted 2,Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi,Comedy,Comedy Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi
kingsman: the secret service,Taron Egerton Colin Firth Samuel L. Jackson Michael Caine Mark Strong,Crime Comedy Action Adventure,Crime Comedy Action Adventure Taron Egerton Colin Firth Samuel L. Jackson Michael Caine Mark Strong
spotlight,Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber John Slattery,Drama Thriller History,Drama Thriller History Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber John Slattery
maze runner: the scorch trials,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen,Action Science Fiction Thriller,Action Science Fiction Thriller Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen
mr. holmes,Ian McKellen Milo Parker Laura Linney Hattie Morahan Patrick Kennedy,Mystery Drama,Mystery Drama Ian McKellen Milo Parker Laura Linney Hattie Morahan Patrick Kennedy
